Type,Identification,Field,Locale,Market,Status,Default content,Translated content
Product,cooking-pot-e10-4l-1-100449,body_html,tr,,,Kastrullen i rostfritt stål passar alla spistyper. De värmeisolerade handtagen ger en säker hantering i arbetet.,Bu paslanmaz çelik tencere her tür ocakta işinizi görür. Isı yalıtımlı kulpları mutfakta güvenli kullanım sağlar.
Product,cooking-pot-e3l-sg1-100450,title,tr,,,Kastrull E3L-SG1,Tencere E3L-SG1
Product,cooking-pot-e3l-sg1-100450,body_html,tr,,,"Kastrullen i rostfritt stål passar alla spistyper. Med det fastmonterade, långa handtaget garanterar produkten en optimal hantering i köket.",Bu paslanmaz çelik tencere her tür ocakta işinizi görür. Sabit ve uzun sapı sayesinde mutfakta en iyi kullanım kolaylığını sunar.
Product,cooking-pot-e4l-sg1-100451,title,tr,,,Kastrull E4L-SG1,Tencere E4L-SG1
Product,cooking-pot-e4l-sg1-100451,body_html,tr,,,"Kastrullen i rostfritt stål passar alla spistyper. Det fast monterade, långa handtaget garanterar att produkten kan hanteras på optimalt sätt i köket.",Bu paslanmaz çelik tencere her tür ocakta işinizi görür. Sabit ve uzun sapı sayesinde mutfakta en iyi kullanım kolaylığını sunar.
Product,cooking-pot-e6-7l-sg1-100452,title,tr,,,"Kastrull E6,7L-SG1",Tencere E6.7L-SG1
Product,cooking-pot-e6-7l-sg1-100452,body_html,tr,,,"Kastrullen i rostfritt stål passar alla spistyper. Det fast monterade, långa handtaget möjliggör optimal hantering i köket.",Bu paslanmaz çelik tencere her tür ocakta işinizi görür. Sabit ve uzun sapı sayesinde mutfakta en iyi kullanım kolaylığını sunar.
Product,cooking-pot-e10-4l-sg1-100453,title,tr,,,"Kastrull E10,4L-SG1",Tencere E10.4L-SG1
Product,cooking-pot-e10-4l-sg1-100453,body_html,tr,,,"Kastrullen i rostfritt stål passar alla spistyper. Det fast monterade, långa handtaget garanterar att den kan hanteras på optimalt sätt i köket.",Bu paslanmaz çelik tencere her tür ocakta işinizi görür. Sabit ve uzun sapı sayesinde mutfakta en iyi kullanım kolaylığını sunar.
Product,frying-pan-e180-d1-100454,title,tr,,,Stekpanna E180-D1,Tava E180-D1
Product,frying-pan-e180-d1-100454,body_html,tr,,,"Allkonstnären i varje kök - stekning, halstring eller uppvärmning: stekpannan i rostfritt stål med tillhörande lock är optimal till varje spis.","Her mutfakta gerçek bir çok amaçlı ürün — ister kızartma, ister soteleme, ister yemek ısıtma; bu paslanmaz çelik tava ve uyumlu kapağı her ocakta kullanıma uygundur."
Product,frying-pan-e200-d1-100456,title,tr,,,Stekpanna E200-D1,Tava E200-D1
Product,frying-pan-e200-d1-100456,body_html,tr,,,"Allkonstnären i varje kök - stekning, halstring eller uppvärmning: stekpannan i rostfritt stål med tillhörande lock är optimal till varje spis.","Her mutfakta gerçek bir çok amaçlı ürün — ister kızartma, ister soteleme, ister yemek ısıtma; bu paslanmaz çelik tava ve uyumlu kapağı her ocakta kullanıma uygundur."
Product,frying-pan-e240-d1-100457,title,tr,,,Stekpanna E240-D1,Tava E240-D1
Product,frying-pan-e240-d1-100457,body_html,tr,,,"Allkonstnären i varje kök - stekning, halstring eller uppvärmning: stekpannan i rostfritt stål med tillhörande lock är optimal till varje spis.","Her mutfakta gerçek bir çok amaçlı ürün — ister kızartma, ister soteleme, ister yemek ısıtma; bu paslanmaz çelik tava ve uyumlu kapağı her ocakta kullanıma uygundur."
Product,salamander-400-1z-100524,body_html,tr,,,"Salamander 400 mm med ett infrarött värmeelement (Incoloy), 2,2 kW, höjdställbart grillgaller, Simmerstat-reglering. Klar att ansluta, galler ingår. Instegsmodell för restauranger som ibland vill grilla och hålla maten varm.","400 mm salamander, bir adet kızılötesi rezistans (Incoloy), 2,2 kW, yüksekliği ayarlanabilir ızgara teli, Simmerstat kumanda. Fişe takılıp kullanılmaya hazır, tel dahil. Ara sıra ızgara yapıp yemeği sıcak tutması gereken restoranlar için giriş seviyesi cihaz."
Product,salamander-700-2z-ii-100532,body_html,tr,,,Salamandern övertygar med den enkla hanteringen av de båda värmezonerna och de effektiva trålningsvärmekropparna. Grillgallret kan placeras på tre olika höjder och garanterar en flexibel användning.,"Salamander, iki ısıtma bölgesinin basit kullanımı ve etkili radyanlarıyla öne çıkıyor. Izgara teli üç farklı yüksekliğe takılabildiği için esnek kullanım sağlanıyor."
Product,salamander-griddle-6640-100533,title,tr,,,Grill-salamander 6640,Salamander griddle 6640
Product,salamander-griddle-6640-100533,body_html,tr,,,Den kompakta grill-gratineringskombinationen har en kraftfull grillplatta med 2 värmezoner som regleras separat. Värmetillförseln till salamandern regleras perfekt med det höjdjusterbara gallret och den steglöst ställbara temperaturen. Full kontroll på grillning och gratinering med den digitala timern – även när det är mycket att göra.,"Yerden tasarruflu bu ızgara/salamander birleşimi, ayrı ayrı açılıp kapatılabilen 2 ısıtma bölgeli güçlü bir pleyt ızgaraya sahiptir. Salamander'in ısı beslemesi, yüksekliği ayarlanabilir ızgara ve kademesiz sıcaklık kontrolüyle tam istenildiği gibi ayarlanır. Dijital zamanlayıcı sayesinde ızgara ve graten işlemleri yoğun saatlerde bile tamamen denetim altındadır."
Product,salamander-400-1z-p-100534,body_html,tr,,,"Gratinering, överbakning och varmhållning direkt på plats för ett friktionsfritt arbete. Vid placering på en arbetsbänk kan man använda salamandern i köket eller i serveringen på ett praktiskt sätt från båda sidor, tack vare de långa, öppna sidorna.","Gratenleyin, ızgara yapın ve çalışmaya devam ederken yemeği sıcak tutun — kesintisiz bir iş akışı için. Salamander tezgâh üstüne konduğunda iki uzun açık kenarı, mutfak ve servis alanlarında iki taraftan pratik servise imkân verir."
Product,lava-rock-7kg-100611,title,tr,,,Lavastenar 7kg,Lava rock 7kg
Product,lava-rock-7kg-100611,body_html,tr,,,"Lavastenar 7 kg – påfyllnings- och startmängd för kompatibla lavastengrillar. Lavastenar lagrar värme jämnt, fördelar strålningsvärme och skapar den typiska grillaromen. Regelbundet byte håller grillprestandan och hygienen konstant.","Lavataş 7 kg — uyumlu lavataş ızgaralar için dolum ve ilk kullanım miktarı. Lavataşlar ısıyı eşit biçimde depolar, radyan ısıyı dağıtır ve tipik ızgara aromasını oluşturur. Düzenli değişim, ızgara performansını ve hijyeni sabit tutar."
Product,pizza-baking-tray-290-r-100925,title,tr,,,Pizza-bakplåt 290-R,Pizza baking tray 290-R
Product,pizza-baking-tray-290-r-100925,body_html,tr,,,Pizzabakplåtens perforerade botten ger en god luftcirkulation - pizzabottnen blir knaprigare och genomgräddad. Tack vare beläggningen där inget fastnar kan även tunna och känsliga degar lossas mycket lätt.,Delikli pizza tepsisi iyi hava sirkülasyonu sağlar — böylece çıtır ve iyi pişmiş bir pizza tabanı elde edilir. Yapışmaz kaplaması sayesinde çok ince ve hassas hamurlar bile tepsiden kolayca ayrılır.
Product,pizza-shovel-alu-100927,title,tr,,,Pizzaspade aluminium,Pizza shovel alu
Product,pizza-shovel-alu-100927,body_html,tr,,,Pizzaspade i aluminium med 1000 mm skaft och 280 x 280 mm spadeyta – lätt och hållbar. För pizzerior som vill skjuta in och ta ut pizzor snabbt och säkert i stenugnen. Långt skaft för säkert arbete med djupa ugnar.,1000 mm saplı ve 280 x 280 mm ağızlı alüminyum pizza küreği — hafif ve dayanıklı. Pizzayı taş fırına hızlı ve güvenli sürüp çıkarmak isteyen pizzacılar için. Derin fırınlarda güvenli çalışma sağlayan uzun sap.
Product,pizza-cutter-100928,title,tr,,,Pizzaskärare,Pizza cutter
Product,pizza-cutter-100928,body_html,tr,,,"Praktisk pizzaskärare med 100 mm rostfritt stålblad och plasthandtag – för rena, snabba snitt direkt vid bordet eller i köket. Oumbärligt småverktyg för varje pizzeria och varje restaurang som serverar flammkuchen eller pizza.",100 mm paslanmaz çelik bıçaklı ve plastik saplı kullanışlı pizza kesici — masada veya mutfakta temiz ve hızlı kesim için. Pizza veya tarte flambée sunan her pizzacı ve işletme için vazgeçilmez küçük alet.
Product,rinse-grid-500-101094,title,tr,,,Spolgaller 500,Rinse grid 500
Product,rinse-grid-500-101094,body_html,tr,,,"Det bättre alternativet till diskkorg för diskning av mycket stora kärl, t.ex. kastruller, skålar och köttlådor.","Tencere, kâse ve et kasası gibi çok büyük kapları yıkamak için durulama sepetlerine göre daha iyi bir seçenek."
Product,basket-shelf-bf-21e-101402,title,tr,,,Korghylla BF 21E,Basket shelf BF 21E
Product,basket-shelf-bf-20g-101404,title,tr,,,Korghylla BF 20G,Basket shelf BF 20G
Product,basket-shelf-bf-20g-101404,body_html,tr,,,Korghylla på båda sidor för bakverksfritösen BF 20G – av CNS 18/10. Skapar förvaringsutrymme bredvid fritösen för avrunna bakverk utan extra golvyta. För bagerier och konditorier med kontinuerlig friteringsdrift.,"BF 20G pastane fritözü için çift taraflı sepet askısı — 18/10 paslanmaz çelikten. Ek yer kaplamadan, süzülen ürünler için fritözün yanında koyma alanı sağlar. Sürekli kızartma yapan fırın ve pastaneler için."
Product,pastries-deep-fat-fryer-bf-20g-1014113,title,tr,,,Bakverksfritös BF 20G,Pastane fritözü BF 20G
